571 0.044  0.0081  0.077   0.21 0.040  0.0075  0.079  0.05 0.050  0.0089  0.075  0.45 
572 0.044  0.0111  0.083   0.10 0.039  0.0092  0.085  6.23 0.052  0.0139  0.079  0.31 
573 0.046  0.0102  0.083   0.08 0.042  0.0115  0.076  0.39 0.051  0.0093  0.096  5.68 
574 0.043  0.0081  0.079   0.15 0.039  0.0082  0.075  0.32 0.048  0.0081  0.086  6.14 
575 0.043  0.0085  0.078   0.28 0.040  0.0097  0.079  0.20 0.046  0.0069  0.075  0.40 
576 0.043  0.0098  0.078   0.35 0.038  0.0100  0.079  0.25 0.048  0.0093  0.075  0.51 
577 0.042  0.0071  0.073   0.87 0.039  0.0067  0.068  1.25 0.046  0.0081  0.079  0.39 
578 0.043  0.0098  0.068   0.99 0.040  0.0108  0.062  1.28 0.048  0.0087  0.080  0.47 
579 0.043  0.0094  0.078   0.46 0.039  0.0095  0.076  0.57 0.048  0.0089  0.080  0.29 
580 0.043  0.0085  0.075   0.77 0.039  0.0088  0.080  0.60 0.050  0.0078  0.065  1.10 
581 0.044  0.0083  0.077   0.77 0.041  0.0095  0.070  1.21 0.050  0.0078  0.086  0.03 
582 0.045  0.0084  0.077   0.50 0.041  0.0085  0.077  0.51 0.049  0.0081  0.077  0.44 
583 0.044  0.0076  0.060   1.43 0.040  0.0061  0.061  1.13 0.049  0.0093  0.080  0.34 
584 0.044  0.0067  0.073   0.78 0.039  0.0061  0.068  1.12 0.050  0.0079  0.077  0.44 
585 0.044  0.0066  0.075   0.49 0.040  0.0064  0.067  0.89 0.049  0.0069  0.083  0.06 
586 0.046  0.0078  0.076   0.72 0.042  0.0079  0.069  1.07 0.050  0.0083  0.088  0.03 
587 0.049  0.0101  0.063   1.62 0.044  0.0086  0.059  1.75 0.054  0.0122  0.067  1.43 
588 0.049  0.0087  0.069   1.10 0.043  0.0080  0.072  0.80 0.057  0.0112  0.057  1.86 
589 0.041  0.0122  0.081   0.46 0.036  0.0111  0.081  0.36 0.049  0.0136  0.083  0.54 
590 0.021  0.0009  0.256   1.51 0.017  0.0024  0.067  6.10 0.023  0.0033  0.281  0.21 
591 0.036  0.0029  0.105   5.55 0.031  0.0033  0.100  5.76 0.042  0.0023  0.125  4.79 
592 0.040  0.0021  0.089   5.01 0.034  0.0052  0.071  6.05 0.049  0.0059  0.062  3.49 
593 0.040  0.0018  0.128   2.25 0.035  0.0028  0.083  4.93 0.047  0.0021  0.114  1.57 
594 0.037  0.0051  0.053   6.25 0.035  0.0028  0.064  0.08 -0.127  0.1756  0.010  1.21 
595 0.038  0.0020  0.077   5.20 0.033  0.0021  0.076  5.49 0.046  0.0026  0.447  2.19 
596 0.039  0.0040  0.080   5.39 0.034  0.0052  0.060  6.00 0.044  0.0040  0.104  4.75 
597 0.039  0.0036  0.079   6.04 0.035  0.0041  0.092  5.40 0.045  0.0042  0.040  1.48 
598 0.039  0.0032  0.074   6.23 0.036  0.0041  0.077  6.19 0.044  0.0020  0.062  0.17 
599 0.032  0.0039  0.086   0.20 0.028  0.0045  0.081  0.66 0.038  0.0044  0.102  5.09 
600 0.035  0.0049  0.099   5.51 0.032  0.0057  0.089  6.06 0.039  0.0046  0.124  4.16 
601 0.035  0.0057  0.088   6.24 0.031  0.0064  0.088  0.10 0.039  0.0047  0.084  6.12 
602 0.035  0.0039  0.079   0.16 0.032  0.0045  0.081  0.10 0.039  0.0029  0.069  0.39 
603 0.035  0.0062  0.086   6.07 0.031  0.0067  0.084  0.02 0.040  0.0054  0.086  5.73 
604 0.033  0.0032  0.097   5.63 0.029  0.0028  0.106  5.41 0.039  0.0041  0.086  5.86 
605 0.034  0.0076  0.084   6.23 0.030  0.0088  0.084  0.07 0.038  0.0058  0.083  5.99 
606 0.037  0.0122  0.078   0.06 0.032  0.0122  0.077  0.18 0.045  0.0115  0.080  6.11 
607 0.038  0.0119  0.076   0.20 0.033  0.0104  0.072  0.40 0.045  0.0146  0.081  6.20 
608 0.038  0.0077  0.072   0.57 0.034  0.0056  0.063  1.14 0.044  0.0121  0.079  0.06 
609 0.036  0.0079  0.078   0.29 0.031  0.0087  0.080  0.26 0.043  0.0059  0.073  0.31 
610 0.036  0.0117  0.084   6.09 0.033  0.0110  0.080  6.25 0.041  0.0126  0.090  5.82 
611 0.036  0.0093  0.082   6.20 0.032  0.0063  0.079  6.27 0.042  0.0138  0.084  6.14 
612 0.039  0.0092  0.080   6.19 0.036  0.0072  0.075  6.24 0.043  0.0123  0.085  6.13 
613 0.037  0.0091  0.084   6.09 0.033  0.0080  0.085  6.00 0.042  0.0106  0.083  6.21 
614 0.040  0.0074  0.083   6.22 0.034  0.0057  0.085  5.98 0.048  0.0105  0.079  0.22 
615 0.040  0.0071  0.082   6.28 0.034  0.0059  0.083  0.02 0.047  0.0089  0.082  6.22 
616 0.038  0.0076  0.082   0.29 0.032  0.0072  0.083  0.34 0.046  0.0079  0.081  0.15 
617 0.036  0.0074  0.085   6.07 0.031  0.0071  0.087  5.93 0.042  0.0075  0.081  0.02 
618 0.035  0.0078  0.083   6.05 0.031  0.0077  0.085  6.00 0.041  0.0078  0.081  6.08 
619 0.033  0.0045  0.089   5.72 0.028  0.0035  0.082  6.08 0.041  0.0067  0.097  5.31 
620 0.035  0.0017  0.105   4.22 0.030  0.0022  0.188  5.89 0.042  0.0050  0.100  4.81 
621 0.036  0.0016  0.236   3.88 0.032  0.0022  0.236  3.98 0.041  0.0036  0.101  5.03 
622 0.036  0.0019  0.057   3.17 0.033  0.0022  0.029  4.31 0.041  0.0029  0.073  2.46 
623 0.037  0.0017  0.246   2.46 0.032  0.0020  0.121  6.06 0.043  0.0026  0.141  3.22 
624 0.037  0.0029  0.070   2.97 0.033  0.0043  0.051  3.22 0.045  0.0052  0.258  3.22 
625 0.036  0.0044  0.085   3.14 0.031  0.0023  0.080  3.41 0.043  0.0078  0.087  3.04 
626 0.038  0.0016  0.284   2.04 0.033  0.0018  0.253  2.90 0.044  0.0036  0.077  3.82 
627 0.036  0.0040  0.080   3.47 0.033  0.0030  0.204  2.22 0.041  0.0067  0.079  3.79 
628 0.034  0.0018  0.070   4.23 0.031  0.0024  0.146  4.88 0.040  0.0060  0.076  4.26 
629 0.034  0.0030  0.077   3.43 0.030  0.0043  0.079  2.78 0.040  0.0044  0.271  2.29 
630 0.036  0.0034  0.264   3.34 0.031  0.0044  0.259  3.39 0.042  0.0027  0.092  4.13 
631 0.033  0.0032  0.074   3.12 0.028  0.0034  0.057  3.71 0.042  0.0056  0.102  2.32 
632 0.032  0.0032  0.140   5.47 0.027  0.0027  0.148  5.36 0.040  0.0042  0.140  5.08 
633 0.034  0.0066  0.133   5.51 0.030  0.0063  0.103  6.04 0.042  0.0066  0.188  4.60 
634 0.033  0.0073  0.135   5.55 0.029  0.0068  0.128  5.74 0.038  0.0077  0.144  5.22 
635 0.031  0.0053  0.072   0.87 0.025  0.0048  0.079  0.74 0.040  0.0061  0.062  0.74 
636 0.009  0.0013  0.286   2.53 0.008  0.0011  0.280  2.97 0.010  0.0016  0.300  1.74 
637 0.017  0.0034  0.113   5.21 0.015  0.0036  0.120  5.31 0.021  0.0048  0.189  3.57 
638 0.038  0.0049  0.087   5.15 0.035  0.0061  0.121  3.47 0.045  0.0065  0.183  4.14 
639 0.042  0.0110  0.079   6.21 0.036  0.0089  0.082  5.91 0.050  0.0148  0.076  0.25 
640 0.043  0.0095  0.071   6.17 0.037  0.0084  0.073  6.18 0.050  0.0109  0.067  6.21 
