0    2.920
1    2.895
2    2.940
3    2.770
4    2.830
5    2.740
6    2.740
7    2.730
8    2.590
9    2.600
10    2.690
11    2.555
12    2.550
13    2.575
14    2.430
15    2.440
16    2.480
17    2.420
18    2.480
19    2.455
20    2.500
21    2.450
22    2.335
23    2.375
24    2.280
25    2.310
26    2.270
27    2.280
28    2.200
29    2.230
30    2.145
31    2.030
32    1.980
33    1.965
34    1.820
35    1.850
36    1.930
37    1.770
38    1.715
39    1.760
40    1.610
41    1.650
42    1.570
43    1.660
44    1.500
45    1.470
46    1.390
47    1.450
48    1.270
49    1.240
50    1.230
51    1.170
52    1.150
53    1.170
54    1.100
55    1.130
56    1.060
57    1.060
58    0.940
59    0.960
60    0.890
61    0.870
62    0.820
63    0.760
64    0.770
65    0.860
66    0.780
67    0.700
68    0.620
69    0.730
70    0.550
71    0.660
72    0.650
73    0.600
74    0.550
75    0.540
76    0.450
77    0.510
78    0.440
