0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
5      NaN
6    3.569
7    3.485
8    3.530
9    3.341
10    3.369
11    3.499
12    3.373
13    3.327
14    2.947
15    2.891
16    2.856
17    2.876
18    2.891
19    2.811
20    2.742
21    2.672
22    2.603
23    2.534
24    2.496
25    2.455
26    2.503
27    2.550
28    2.503
29    2.457
30    2.410
31    2.363
32    2.150
33    2.056
34    2.092
35    2.111
36    1.979
37    2.033
38    1.992
39    1.772
40    1.698
41    1.684
42    1.663
43    1.607
44    1.608
45    1.580
46    1.566
47    1.431
48    1.397
49    1.369
50    1.337
51    1.301
52    1.258
53    1.239
54    1.181
55    1.088
56    1.087
57    1.082
58    1.073
59    1.026
60    1.000
61    0.968
62    0.938
63    0.905
64    0.849
65    0.836
66    0.817
67    0.808
68    0.803
69    0.773
70    0.761
71    0.739
72    0.658
73    0.642
74    0.631
75    0.608
76    0.588
77    0.580
78    0.570
79    0.560
80    0.550
81    0.493
82    0.436
83    0.427
84    0.422
85    0.406
86    0.396
87    0.387
88    0.379
89    0.348
90    0.282
91    0.210
92    0.211
93    0.210
94    0.208
95    0.214
96    0.216
97    0.229
98    0.237
99    0.149
100    0.062
101    0.042
102    0.033
103      NaN
104      NaN
105      NaN
106      NaN
107      NaN
108      NaN
109      NaN
110      NaN
111      NaN
112    0.232
113    0.233
114    0.221
115    0.206
116    0.190
117    0.175
118    0.159
119    0.122
