0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
5      NaN
6      NaN
7      NaN
8      NaN
9      NaN
10      NaN
11      NaN
12      NaN
13      NaN
14      NaN
15      NaN
16      NaN
17      NaN
18      NaN
19      NaN
20      NaN
21      NaN
22      NaN
23      NaN
24      NaN
25      NaN
26      NaN
27      NaN
28      NaN
29      NaN
30      NaN
31    3.802
32    2.700
33    2.494
34    2.054
35    1.877
36    1.737
37    1.614
38    1.431
39    1.293
40    1.177
41    1.149
42    1.030
43    1.019
44    0.962
45    0.935
46    0.907
47    0.879
48    0.852
49    0.825
50    0.800
51    0.776
52    0.751
53    0.727
54    0.704
55    0.682
56    0.660
57    0.635
58    0.612
59    0.591
60    0.571
61    0.553
62    0.539
63    0.518
64    0.501
65    0.484
66    0.468
67    0.452
68    0.435
69    0.418
70    0.400
71    0.385
72    0.369
