0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
5      NaN
6      NaN
7      NaN
8    3.120
9    3.087
10    3.008
11    2.972
12    2.949
13    2.875
14    2.824
15    2.846
16    2.764
17    2.741
18    2.707
19    2.721
20    2.765
21    2.754
22    2.766
23    2.769
24    2.772
25    2.827
26    2.839
27    2.834
28    2.836
29    2.839
30    2.895
31    2.907
32      NaN
33      NaN
34      NaN
35      NaN
36      NaN
37    2.805
38    2.667
39    2.549
40    2.521
41    2.420
42    2.319
43    2.218
44    2.117
45    2.016
46    2.025
47    2.035
48    2.002
49    1.968
50    1.956
51    1.875
52    1.794
53    1.714
54    1.679
55    1.615
56    1.534
57    1.525
58    1.526
59    1.510
60    1.502
61    1.460
62    1.308
63    1.249
64    1.247
65    1.228
66    1.227
67    1.171
68    1.162
69      NaN
70      NaN
71    0.928
72    0.919
73    0.903
74      NaN
75      NaN
76    0.768
77    0.753
78    0.739
79    0.743
80    0.743
81    0.690
82    0.647
83    0.596
84    0.550
85    0.535
86    0.525
87    0.527
88    0.524
89    0.495
90    0.369
91    0.350
92    0.351
93    0.324
94    0.294
95    0.264
96    0.234
97    0.204
98    0.174
99    0.143
100    0.095
101    0.088
102    0.107
103    0.108
104    0.087
105    0.076
106    0.104
107    0.030
108    0.002
